Key Type,Key,1.21.8 en_us,1.21.8 zh_cn
block,acacia_button,Acacia Button,金合欢木按钮
block,acacia_door,Acacia Door,金合欢木门
block,acacia_fence,Acacia Fence,金合欢木栅栏
block,acacia_fence_gate,Acacia Fence Gate,金合欢木栅栏门
block,acacia_hanging_sign,Acacia Hanging Sign,悬挂式金合欢木告示牌
block,acacia_leaves,Acacia Leaves,金合欢树叶
block,acacia_log,Acacia Log,金合欢原木
block,acacia_planks,Acacia Planks,金合欢木板
block,acacia_pressure_plate,Acacia Pressure Plate,金合欢木压力板
block,acacia_sapling,Acacia Sapling,金合欢树苗
block,acacia_sign,Acacia Sign,金合欢木告示牌
block,acacia_slab,Acacia Slab,金合欢木台阶
block,acacia_stairs,Acacia Stairs,金合欢木楼梯
block,acacia_trapdoor,Acacia Trapdoor,金合欢木活板门
block,acacia_wall_hanging_sign,Acacia Wall Hanging Sign,墙上的悬挂式金合欢木告示牌
block,acacia_wall_sign,Acacia Wall Sign,墙上的金合欢木告示牌
block,acacia_wood,Acacia Wood,金合欢木
block,activator_rail,Activator Rail,激活铁轨
block,air,Air,空气
block,allium,Allium,绒球葱
block,amethyst_block,Block of Amethyst,紫水晶块
block,amethyst_cluster,Amethyst Cluster,紫水晶簇
block,ancient_debris,Ancient Debris,远古残骸
block,andesite,Andesite,安山岩
block,andesite_slab,Andesite Slab,安山岩台阶
block,andesite_stairs,Andesite Stairs,安山岩楼梯
block,andesite_wall,Andesite Wall,安山岩墙
block,anvil,Anvil,铁砧
block,attached_melon_stem,Attached Melon Stem,结果的西瓜茎
block,attached_pumpkin_stem,Attached Pumpkin Stem,结果的南瓜茎
block,azalea,Azalea,杜鹃花丛
block,azalea_leaves,Azalea Leaves,杜鹃树叶
block,azure_bluet,Azure Bluet,蓝花美耳草
block,bamboo,Bamboo,竹子
block,bamboo_block,Block of Bamboo,竹块
block,bamboo_button,Bamboo Button,竹按钮
block,bamboo_door,Bamboo Door,竹门
block,bamboo_fence,Bamboo Fence,竹栅栏
block,bamboo_fence_gate,Bamboo Fence Gate,竹栅栏门
block,bamboo_hanging_sign,Bamboo Hanging Sign,悬挂式竹告示牌
block,bamboo_mosaic,Bamboo Mosaic,竹马赛克
block,bamboo_mosaic_slab,Bamboo Mosaic Slab,竹马赛克台阶
block,bamboo_mosaic_stairs,Bamboo Mosaic Stairs,竹马赛克楼梯
block,bamboo_planks,Bamboo Planks,竹板
block,bamboo_pressure_plate,Bamboo Pressure Plate,竹压力板
block,bamboo_sapling,Bamboo Shoot,竹笋
block,bamboo_sign,Bamboo Sign,竹告示牌
block,bamboo_slab,Bamboo Slab,竹台阶
block,bamboo_stairs,Bamboo Stairs,竹楼梯
block,bamboo_trapdoor,Bamboo Trapdoor,竹活板门
block,bamboo_wall_hanging_sign,Bamboo Wall Hanging Sign,墙上的悬挂式竹告示牌
block,bamboo_wall_sign,Bamboo Wall Sign,墙上的竹告示牌
block,banner.base.black,Fully Black Field,黑底
block,banner.base.blue,Fully Blue Field,蓝底
block,banner.base.brown,Fully Brown Field,棕底
block,banner.base.cyan,Fully Cyan Field,青底
block,banner.base.gray,Fully Gray Field,灰底
block,banner.base.green,Fully Green Field,绿底
block,banner.base.light_blue,Fully Light Blue Field,淡蓝底
block,banner.base.light_gray,Fully Light Gray Field,淡灰底
block,banner.base.lime,Fully Lime Field,黄绿底
block,banner.base.magenta,Fully Magenta Field,品红底
block,banner.base.orange,Fully Orange Field,橙底
block,banner.base.pink,Fully Pink Field,粉红底
block,banner.base.purple,Fully Purple Field,紫底
block,banner.base.red,Fully Red Field,红底
block,banner.base.white,Fully White Field,白底
block,banner.base.yellow,Fully Yellow Field,黄底
block,banner.border.black,Black Bordure,黑色方框边
block,banner.border.blue,Blue Bordure,蓝色方框边
block,banner.border.brown,Brown Bordure,棕色方框边
block,banner.border.cyan,Cyan Bordure,青色方框边
block,banner.border.gray,Gray Bordure,灰色方框边
block,banner.border.green,Green Bordure,绿色方框边
block,banner.border.light_blue,Light Blue Bordure,淡蓝色方框边
block,banner.border.light_gray,Light Gray Bordure,淡灰色方框边
block,banner.border.lime,Lime Bordure,黄绿色方框边
block,banner.border.magenta,Magenta Bordure,品红色方框边
block,banner.border.orange,Orange Bordure,橙色方框边
block,banner.border.pink,Pink Bordure,粉红色方框边
block,banner.border.purple,Purple Bordure,紫色方框边
block,banner.border.red,Red Bordure,红色方框边
block,banner.border.white,White Bordure,白色方框边
block,banner.border.yellow,Yellow Bordure,黄色方框边
block,banner.bricks.black,Black Field Masoned,黑色砖纹
block,banner.bricks.blue,Blue Field Masoned,蓝色砖纹
block,banner.bricks.brown,Brown Field Masoned,棕色砖纹
block,banner.bricks.cyan,Cyan Field Masoned,青色砖纹
block,banner.bricks.gray,Gray Field Masoned,灰色砖纹
block,banner.bricks.green,Green Field Masoned,绿色砖纹
block,banner.bricks.light_blue,Light Blue Field Masoned,淡蓝色砖纹
block,banner.bricks.light_gray,Light Gray Field Masoned,淡灰色砖纹
block,banner.bricks.lime,Lime Field Masoned,黄绿色砖纹
block,banner.bricks.magenta,Magenta Field Masoned,品红色砖纹
block,banner.bricks.orange,Orange Field Masoned,橙色砖纹
block,banner.bricks.pink,Pink Field Masoned,粉红色砖纹
block,banner.bricks.purple,Purple Field Masoned,紫色砖纹
block,banner.bricks.red,Red Field Masoned,红色砖纹
block,banner.bricks.white,White Field Masoned,白色砖纹
block,banner.bricks.yellow,Yellow Field Masoned,黄色砖纹
block,banner.circle.black,Black Roundel,黑色圆形
block,banner.circle.blue,Blue Roundel,蓝色圆形
block,banner.circle.brown,Brown Roundel,棕色圆形
block,banner.circle.cyan,Cyan Roundel,青色圆形
block,banner.circle.gray,Gray Roundel,灰色圆形
block,banner.circle.green,Green Roundel,绿色圆形
block,banner.circle.light_blue,Light Blue Roundel,淡蓝色圆形
block,banner.circle.light_gray,Light Gray Roundel,淡灰色圆形
block,banner.circle.lime,Lime Roundel,黄绿色圆形
block,banner.circle.magenta,Magenta Roundel,品红色圆形
block,banner.circle.orange,Orange Roundel,橙色圆形
block,banner.circle.pink,Pink Roundel,粉红色圆形
block,banner.circle.purple,Purple Roundel,紫色圆形
block,banner.circle.red,Red Roundel,红色圆形
block,banner.circle.white,White Roundel,白色圆形
block,banner.circle.yellow,Yellow Roundel,黄色圆形
block,banner.creeper.black,Black Creeper Charge,黑色苦力怕盾徽
block,banner.creeper.blue,Blue Creeper Charge,蓝色苦力怕盾徽
block,banner.creeper.brown,Brown Creeper Charge,棕色苦力怕盾徽
block,banner.creeper.cyan,Cyan Creeper Charge,青色苦力怕盾徽
block,banner.creeper.gray,Gray Creeper Charge,灰色苦力怕盾徽
block,banner.creeper.green,Green Creeper Charge,绿色苦力怕盾徽
block,banner.creeper.light_blue,Light Blue Creeper Charge,淡蓝色苦力怕盾徽
block,banner.creeper.light_gray,Light Gray Creeper Charge,淡灰色苦力怕盾徽
block,banner.creeper.lime,Lime Creeper Charge,黄绿色苦力怕盾徽
block,banner.creeper.magenta,Magenta Creeper Charge,品红色苦力怕盾徽
block,banner.creeper.orange,Orange Creeper Charge,橙色苦力怕盾徽
block,banner.creeper.pink,Pink Creeper Charge,粉红色苦力怕盾徽
block,banner.creeper.purple,Purple Creeper Charge,紫色苦力怕盾徽
