EntityType,SpawnPlacementTypes,Heightmap.Types,SpawnRules类名,SpawnRules方法名
AXOLOTL,IN_WATER,MOTION_BLOCKING_NO_LEAVES,Axolotl,checkAxolotlSpawnRules
COD,IN_WATER,MOTION_BLOCKING_NO_LEAVES,WaterAnimal,checkSurfaceWaterAnimalSpawnRules
DOLPHIN,IN_WATER,MOTION_BLOCKING_NO_LEAVES,AgeableWaterCreature,checkSurfaceAgeableWaterCreatureSpawnRules
DROWNED,IN_WATER,MOTION_BLOCKING_NO_LEAVES,Drowned,checkDrownedSpawnRules
GUARDIAN,IN_WATER,MOTION_BLOCKING_NO_LEAVES,Guardian,checkGuardianSpawnRules
PUFFERFISH,IN_WATER,MOTION_BLOCKING_NO_LEAVES,WaterAnimal,checkSurfaceWaterAnimalSpawnRules
SALMON,IN_WATER,MOTION_BLOCKING_NO_LEAVES,WaterAnimal,checkSurfaceWaterAnimalSpawnRules
SQUID,IN_WATER,MOTION_BLOCKING_NO_LEAVES,AgeableWaterCreature,checkSurfaceAgeableWaterCreatureSpawnRules
TROPICAL_FISH,IN_WATER,MOTION_BLOCKING_NO_LEAVES,TropicalFish,checkTropicalFishSpawnRules
ARMADILLO,ON_GROUND,MOTION_BLOCKING_NO_LEAVES,Armadillo,checkArmadilloSpawnRules
BAT,ON_GROUND,MOTION_BLOCKING_NO_LEAVES,Bat,checkBatSpawnRules
BLAZE,ON_GROUND,MOTION_BLOCKING_NO_LEAVES,Monster,checkAnyLightMonsterSpawnRules
BOGGED,ON_GROUND,MOTION_BLOCKING_NO_LEAVES,Monster,checkMonsterSpawnRules
BREEZE,ON_GROUND,MOTION_BLOCKING_NO_LEAVES,Monster,checkAnyLightMonsterSpawnRules
CAMEL,ON_GROUND,MOTION_BLOCKING_NO_LEAVES,Camel,checkCamelSpawnRules
CAMEL_HUSK,ON_GROUND,MOTION_BLOCKING_NO_LEAVES,Monster,checkSurfaceMonstersSpawnRules
CAVE_SPIDER,ON_GROUND,MOTION_BLOCKING_NO_LEAVES,Monster,checkMonsterSpawnRules
CHICKEN,ON_GROUND,MOTION_BLOCKING_NO_LEAVES,Animal,checkAnimalSpawnRules
COW,ON_GROUND,MOTION_BLOCKING_NO_LEAVES,Animal,checkAnimalSpawnRules
CREEPER,ON_GROUND,MOTION_BLOCKING_NO_LEAVES,Monster,checkMonsterSpawnRules
DONKEY,ON_GROUND,MOTION_BLOCKING_NO_LEAVES,Animal,checkAnimalSpawnRules
ENDERMAN,ON_GROUND,MOTION_BLOCKING_NO_LEAVES,Monster,checkMonsterSpawnRules
ENDERMITE,ON_GROUND,MOTION_BLOCKING_NO_LEAVES,Endermite,checkEndermiteSpawnRules
ENDER_DRAGON,ON_GROUND,MOTION_BLOCKING_NO_LEAVES,Mob,checkMobSpawnRules
FROG,ON_GROUND,MOTION_BLOCKING_NO_LEAVES,Frog,checkFrogSpawnRules
GHAST,ON_GROUND,MOTION_BLOCKING_NO_LEAVES,Ghast,checkGhastSpawnRules
HAPPY_GHAST,ON_GROUND,MOTION_BLOCKING_NO_LEAVES,Animal,checkAnimalSpawnRules
GIANT,ON_GROUND,MOTION_BLOCKING_NO_LEAVES,Monster,checkMonsterSpawnRules
GLOW_SQUID,IN_WATER,MOTION_BLOCKING_NO_LEAVES,GlowSquid,checkGlowSquidSpawnRules
GOAT,ON_GROUND,MOTION_BLOCKING_NO_LEAVES,Goat,checkGoatSpawnRules
HORSE,ON_GROUND,MOTION_BLOCKING_NO_LEAVES,Animal,checkAnimalSpawnRules
HUSK,ON_GROUND,MOTION_BLOCKING_NO_LEAVES,Monster,checkSurfaceMonstersSpawnRules
IRON_GOLEM,ON_GROUND,MOTION_BLOCKING_NO_LEAVES,Mob,checkMobSpawnRules
LLAMA,ON_GROUND,MOTION_BLOCKING_NO_LEAVES,Animal,checkAnimalSpawnRules
MAGMA_CUBE,ON_GROUND,MOTION_BLOCKING_NO_LEAVES,MagmaCube,checkMagmaCubeSpawnRules
MOOSHROOM,ON_GROUND,MOTION_BLOCKING_NO_LEAVES,MushroomCow,checkMushroomSpawnRules
MULE,ON_GROUND,MOTION_BLOCKING_NO_LEAVES,Animal,checkAnimalSpawnRules
NAUTILUS,IN_WATER,MOTION_BLOCKING_NO_LEAVES,AbstractNautilus,checkNautilusSpawnRules
